Date,POET
2020-11-04,4.199999809265137
2020-11-05,3.9000000953674316
2020-11-06,3.799999952316284
2020-11-09,4.099999904632568
2020-11-10,4.0
2020-11-11,3.9000000953674316
2020-11-12,3.799999952316284
2020-11-13,3.799999952316284
2020-11-16,3.799999952316284
2020-11-17,3.799999952316284
2020-11-18,3.799999952316284
2020-11-19,3.700000047683716
2020-11-20,3.5999999046325684
2020-11-23,3.9000000953674316
2020-11-24,4.199999809265137
2020-11-25,4.099999904632568
2020-11-27,4.099999904632568
2020-11-30,4.099999904632568
2020-12-01,3.799999952316284
2020-12-02,3.799999952316284
2020-12-03,3.9000000953674316
2020-12-04,3.9000000953674316
2020-12-07,4.0
2020-12-08,4.5
2020-12-09,4.300000190734863
2020-12-10,4.199999809265137
2020-12-11,4.5
2020-12-14,4.699999809265137
2020-12-15,4.599999904632568
2020-12-16,4.400000095367432
2020-12-17,4.599999904632568
2020-12-18,4.599999904632568
2020-12-21,5.599999904632568
2020-12-22,5.199999809265137
2020-12-23,5.5
2020-12-24,6.099999904632568
2020-12-28,7.0
2020-12-29,6.5
2020-12-30,6.400000095367432
2020-12-31,6.5
2021-01-04,6.199999809265137
2021-01-05,5.900000095367432
2021-01-06,6.699999809265137
2021-01-07,6.400000095367432
2021-01-08,6.300000190734863
2021-01-11,6.400000095367432
2021-01-12,6.400000095367432
2021-01-13,6.599999904632568
2021-01-14,6.300000190734863
2021-01-15,6.300000190734863
2021-01-19,6.300000190734863
2021-01-20,6.400000095367432
2021-01-21,6.699999809265137
2021-01-22,7.5
2021-01-25,8.5
2021-01-26,7.900000095367432
2021-01-27,7.5
2021-01-28,8.0
2021-01-29,8.399999618530273
2021-02-01,9.899999618530273
2021-02-02,10.899999618530273
2021-02-03,11.100000381469727
2021-02-04,10.600000381469727
2021-02-05,10.800000190734863
2021-02-08,11.399999618530273
2021-02-09,11.0
2021-02-10,10.699999809265137
2021-02-11,10.100000381469727
2021-02-12,10.100000381469727
2021-02-16,10.100000381469727
2021-02-17,10.0
2021-02-18,9.699999809265137
2021-02-19,9.899999618530273
2021-02-22,9.399999618530273
2021-02-23,9.5
2021-02-24,9.600000381469727
2021-02-25,9.0
2021-02-26,8.899999618530273
2021-03-01,9.300000190734863
2021-03-02,9.0
2021-03-03,8.699999809265137
2021-03-04,7.900000095367432
2021-03-05,7.699999809265137
2021-03-08,8.199999809265137
2021-03-09,8.399999618530273
2021-03-10,8.5
2021-03-11,8.699999809265137
2021-03-12,9.399999618530273
2021-03-15,10.199999809265137
2021-03-16,10.800000190734863
2021-03-17,10.5
2021-03-18,9.899999618530273
2021-03-19,9.699999809265137
2021-03-22,9.399999618530273
2021-03-23,9.199999809265137
2021-03-24,8.800000190734863
2021-03-25,8.5
2021-03-26,8.5
2021-03-29,9.0
2021-03-30,8.899999618530273
2021-03-31,9.399999618530273
2021-04-01,9.399999618530273
2021-04-05,9.399999618530273
2021-04-06,9.5
2021-04-07,9.300000190734863
2021-04-08,9.199999809265137
2021-04-09,9.100000381469727
2021-04-12,8.899999618530273
2021-04-13,8.800000190734863
2021-04-14,8.300000190734863
2021-04-15,7.900000095367432
2021-04-16,7.800000190734863
2021-04-19,7.400000095367432
2021-04-20,6.900000095367432
2021-04-21,7.5
2021-04-22,8.100000381469727
2021-04-23,7.900000095367432
2021-04-26,7.800000190734863
2021-04-27,7.800000190734863
2021-04-28,8.0
2021-04-29,8.100000381469727
2021-04-30,8.0
2021-05-03,8.0
2021-05-04,7.800000190734863
2021-05-05,7.699999809265137
2021-05-06,7.800000190734863
2021-05-07,7.599999904632568
2021-05-10,7.699999809265137
2021-05-11,7.400000095367432
2021-05-12,7.300000190734863
2021-05-13,7.400000095367432
2021-05-14,7.699999809265137
2021-05-17,7.800000190734863
2021-05-18,8.300000190734863
2021-05-19,7.900000095367432
2021-05-20,8.800000190734863
2021-05-21,8.800000190734863
2021-05-24,9.0
2021-05-25,7.900000095367432
2021-05-26,8.0
2021-05-27,8.0
2021-05-28,8.300000190734863
